x,y
2770041.31879346,2282217.32415549
2767308.09031736,2280822.7684419
2765759.60803387,2277613.31941642
2763245.02999846,2268242.07710677
2763591.24114518,2264391.87565959
2765291.99205979,2251931.78980159
2764619.55842373,2236037.31640718
2762155.38359603,2230075.49390999
2762938.58841437,2204721.05652003
2764271.5348913,2199936.60585721
2764484.75648559,2194532.99404147
2764011.43711586,2184997.01877439
2763064.05809884,2181652.04750405
2762063.46110153,2179098.871841
2760194.4921456,2174728.42147091
2758631.95916933,2171344.82420821
2756641.95669813,2167361.71502573
2742538.51517515,2138628.55839375
2739809.78543522,2132939.69352364
2732730.1482237,2118840.50840629
2730011.18557769,2113719.52215121
2723740.23377187,2092113.56350755
2718858.57061489,2084222.63279975
2712675.99454405,2074531.79822566
2709873.13320711,2070180.01775518
2708235.78533919,2067671.03090437
2705015.11299043,2062965.54224225
2699298.89989558,2054637.84965753
2692671.25620147,2042608.14713638
2692625.4909138,2039845.75596338
2687497.30324477,2034399.87081654
2684682.63168879,2031820.62934184
2674843.83278777,2025035.22091063
2670180.13785204,2022575.81855535
2662872.27374186,2010665.53577671
2660940.15171757,2004820.90944724
2658014.12489408,1999708.95629503
2653997.12717912,1994585.64439643
2650577.77734149,1988704.9271824
2647670.57307354,1976590.26121168
2642575.62580522,1968253.58676793
2639775.0351963,1964684.33342433
2636848.26195893,1961301.93873039
2636044.79491833,1952710.0354285
2638852.96987093,1950411.77381713
2649711.60535693,1946187.67019891
2657531.29692212,1944656.35699158
2654584.10932799,1942605.67031315
2655251.21754732,1939834.35635633
2656305.54303363,1936391.45714174
2657151.88896627,1930114.5983208
2656997.65520983,1926990.20977446
2655992.29096719,1922899.73788639
2654809.98529293,1920448.2702095
2655735.64684569,1915836.31343046
2664638.09906313,1914183.61976745
2670655.59210598,1915300.58665271
2675922.28630179,1916913.26584027
2678577.76312256,1919041.84380337
2680559.45524592,1919600.75708404
2691634.18760527,1919134.62953526
2694574.34149425,1916243.45344623
2696338.23798136,1906415.20176556
2685475.3420198,1892567.70812118
2684779.52238987,1887912.75917544
2684193.48294701,1885218.58614889
2682727.26161063,1880836.00979243
2681505.46040256,1877976.98410408
2680259.81190486,1875336.60017108
2678770.96622104,1872629.34291194
2676217.99862876,1868259.41016184
2674300.45111306,1851856.6594512
2673993.31564634,1846980.49947591
2670470.46670489,1832892.0048832
2666756.64316535,1821785.33138988
2665415.97502464,1817715.23945622
2666032.84141628,1814964.73504386
2666489.95583022,1810569.73372613
2663169.56310249,1801214.6857768
2660647.14519247,1796854.12269367
2653359.77473283,1783283.01959221
2647048.62398604,1773126.16560442
2644316.55222975,1769501.19872558
2639698.61501128,1764464.83233136
2642254.14215995,1758469.98618199
2645261.80146717,1759943.98117259
2650244.26063453,1760935.89488006
2669134.93819268,1762857.71436017
2671619.63789012,1762777.28352861
2677522.36508923,1760421.33506985
2680528.00943133,1758016.93434174
2684918.38082243,1755452.57030189
2686835.17978062,1754743.21277462
2689671.46650415,1754577.00320229
2708413.10158152,1749942.15927579
2714922.15184438,1745548.78285957
2716951.0395342,1743548.62240067
2722230.64008031,1737526.75300767
2724219.10827014,1735055.00974122
2726500.98407843,1732518.72144839
2731125.90930304,1730004.93727414
2737986.93846025,1732117.55146169
2747401.94733184,1736578.64189261
2761328.30528488,1743090.40818164
2768901.91102435,1744379.83743803
2772506.37035202,1744445.02070943
2774528.10878145,1744039.16605149
2777781.49052303,1743726.21696111
2785192.00851252,1743395.08357311
2789328.78769964,1743397.219404
2795694.62813994,1742395.66428029
2800156.0993391,1741613.07034179
2810223.61682093,1739149.64486078
2822907.20932902,1730264.28460337
2829393.77287192,1725346.69273472
2831711.09196867,1723366.90054551
2839715.0098546,1715673.85225499
2844974.03034839,1710549.13442788
2847534.97585715,1707669.56857766
2851487.65826401,1702744.47306351
2855103.37674126,1695893.9932613
2856328.8110822,1691327.46689436
2857635.4011867,1684763.88662711
2860798.01260162,1681412.97858528
2853306.15698792,1677067.01178271
2854927.99474497,1666433.05197762
2856437.82517724,1663763.57150812
2858125.37045648,1662760.10775691
2861279.09468772,1661773.53732693
2867648.64443526,1656253.56650611
2871601.20281901,1647668.78634748
2866876.64740442,1643307.61372416
2863883.33262567,1644286.14358331
2864988.10112112,1637421.02060237
2876461.35098267,1610209.51244844
2881689.64864199,1607295.66122388
2883983.83840213,1607351.36838273
2892932.35195199,1599244.88884863
2903159.49975053,1589431.97684603
2911297.51606673,1581944.04027529
2913824.65145604,1582155.17872792
2924298.97416703,1584183.91446928
2927642.21292411,1587652.62017265
2928413.29331288,1594107.2659603
2930134.04981111,1596491.37851164
2932201.70440667,1597234.08039158
2934317.74885225,1596679.53631279
2936500.06013258,1594394.59915643
2941496.17591505,1600753.50063804
2948271.67723357,1608282.88854744
2952427.94162756,1614184.05259844
2957553.96019255,1618253.991777
2962642.45780533,1618908.78336475
2971076.55655753,1620895.52448237
2980564.72704042,1623362.57191947
2983671.84582806,1623471.46282954
2987036.01093314,1622953.21137249
2991971.64319459,1620723.18716777
2996058.09745847,1618748.35725607
3000835.35724829,1618146.80306009
3006175.57349589,1619180.2977507
3020128.42324009,1627195.96333105
3025473.86313444,1632774.21403322
3029602.5000942,1637469.76111401
3032731.34604717,1638208.22246885
3036100.60761843,1636985.39974718
3045033.99848486,1634527.42208627
3058250.45657743,1634093.69266986
3060897.06679449,1635649.00717912
3083486.01332025,1632122.50981883
3086515.25997082,1630568.31549022
3088465.78696783,1628840.16646598
3106626.64659459,1623770.88337224
3113876.9205963,1620040.91710912
3118190.71523296,1619398.74869154
3121237.42647775,1620749.19031255
3126856.17486976,1622970.09198763
3134149.41039181,1623283.97473978
3138244.28042943,1622064.87144558
3144922.61696276,1621046.3959335
3150828.0829193,1619611.51407407
3156943.50099981,1618195.13251859
3160160.42724046,1617878.86222586
3166364.26179478,1614339.18555019
3170354.23399401,1611453.95740327
3175785.96194314,1607937.07973088
3181773.26355008,1607156.27891633
3186709.64244635,1608394.65540956
3189892.10479193,1611105.61673288
3191330.88439552,1613863.56595923
3192788.72387145,1616376.06418463
3195454.83312178,1619095.89954949
3203913.3770152,1620683.50298601
3214579.20995974,1619491.60891925
3217993.11888677,1618001.65153272
3220463.00576696,1615835.13722122
3223043.07405973,1612297.40158671
3224565.10856402,1609626.8954167
3225651.29558981,1607381.50935153
3227389.46952206,1604382.33340429
3233537.62332098,1604174.48537183
3240123.6437264,1609524.38911932
3253997.09417927,1624050.56021914
3261062.4200158,1634284.90336247
3263379.20355405,1638431.26960263
3266234.58909819,1644274.91419903
3270827.95590571,1654156.31216718
3282750.83617265,1665736.22096457
3286700.86753671,1667598.43613435
3303739.4829956,1677301.03105495
3314676.22963639,1683274.73584321
3316790.46295605,1683976.40834601
3324570.08362679,1684524.25292333
3327436.48997907,1683703.00620342
3335932.92908604,1681902.48491245
3348405.10480812,1682911.12493201
3357119.74448606,1679789.46297861
3370314.39233757,1680939.74234728
3372525.31816914,1683545.33079987
3371257.72234969,1687196.59375131
3369557.51004559,1684447.91741454
3364381.05987339,1687545.20187818
3362553.08425973,1689626.43764165
3359974.21492907,1695062.9308716
3361492.51507271,1698021.45426641
3366775.22983693,1704326.73859075
3370460.7766494,1709013.63303428
3372006.0739805,1713293.87269889
3377773.29233174,1720556.8744905
3383578.97816357,1732066.55269446
3387921.0258949,1742016.62243888
3399361.2644325,1757874.1264053
3412348.68588522,1768435.28987739
3417797.44159416,1771229.48714768
3420006.99209419,1772158.76615905
3432390.8371499,1775656.79890085
3440990.08152042,1779125.02420838
3454797.58751947,1786646.83802519
3466708.25277227,1793454.82038118
3466550.01936935,1801550.35468346
3463000.29997332,1804750.83301135
3458354.32688733,1808133.02164008
3454157.10447724,1809434.31830461
3448691.82126696,1811833.72163808
3445458.73892978,1815456.43337762
3443927.91942387,1817550.15648517
3441801.56264228,1820686.33579002
3439494.03389532,1824576.0442316
3436317.34802189,1832245.33534426
3434829.28405648,1837301.50499484
3433690.92968289,1842497.86774074
3429561.36178802,1869962.38152718
3429071.46638135,1876102.12281366
3431967.9537458,1885893.83738731
3438604.71796938,1896143.56938931
3441514.42577419,1898400.76680474
3446440.25278201,1907735.39830113
3452846.20347366,1916049.7388229
3455808.93491806,1919513.96050002
3465727.94298329,1931144.91690755
3470246.31606096,1938426.854528
3484261.85178495,1951963.72339304
3487722.05941988,1954038.33894806
3497440.80786142,1962872.56582646
3500684.79895387,1966614.62635727
3515406.07396156,1985942.47792007
3516603.14080335,1988703.65429728
3518288.60467574,1991325.05095897
3524374.8005157,1996617.50144517
3532096.6251408,1997305.87821846
3534241.08641539,1996260.77939631
3532324.30380583,1991987.41864534
3545884.01221437,2000413.29481988
3547531.58630529,2005020.75173498
3536959.42486862,2011549.70964414
3535164.30291361,2014602.98137614
3550277.89520221,2029672.06084244
3560696.41220198,2037968.78425818
3567320.57012579,2040659.62839524
